CIDS,SE_NAME,SE_FREQ,SE_ONTOLOGY
CID000005771,anaphylactoid reaction,2,10.01.07.003|24.06.03.007
CID000060853,angina pectoris,3,02.02.02.002|24.04.04.002
CID026275995,injury,4,12.01.08.004
CID000036294,cough,5,22.02.03.001
CID000170361,dyspepsia,4,07.01.02.001
CID000005095,muscle relaxant therapy,3,25.16.01.001
CID000441193,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID024826799,pancreatitis,4,07.18.01.001
CID000005665,nasopharyngitis,5,11.01.13.002|22.07.03.002
CID000445643,cough,4,22.02.03.001
CID000003446,vision blurred,3,06.02.06.007|17.17.01.010
CID000014969,nervous system disorder,4,17.02.10.001
CID000062819,headache,5,17.14.01.001
CID000001775,migraine,3,17.14.02.001|24.03.05.003
CID005362129,nausea,4,07.01.07.001
CID000047811,electrolyte imbalance,2,14.05.01.002
CID005486971,hypomagnesaemia,2,14.04.02.001
CID006436173,oedema peripheral,5,02.05.04.007|08.01.07.007|14.05.06.011
CID000004205,hypothyroidism,2,05.02.03.001|14.11.01.012
CID000005073,mouth ulceration,3,07.05.06.004
CID002733525,cyst,4,08.03.05.001|16.02.02.002
CID000060953,oedema,4,08.01.07.006|14.05.06.010
CID006451164,lipase increased,3,13.05.01.003
CID000119607,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000003365,erythema multiforme,2,10.01.03.015|23.03.01.003
CID000060795,cough,4,22.02.03.001
CID000060648,rash pustular,3,11.01.12.002|23.03.10.003
CID000107807,oedema,4,08.01.07.006|14.05.06.010
CID000077990,hypertension,3,24.08.02.001
CID000060857,eczema,2,23.03.04.006
CID000009651,nightmare,3,19.02.03.003
CID000005734,lymphadenopathy,3,01.09.01.002
CID000148192,myopathy,2,15.05.05.001
CID000063009,hypercholesterolaemia,2,14.08.01.001
CID000004173,influenza,3,11.05.03.001|22.07.02.001
CID003033637,diarrhoea,4,07.02.01.001
CID000083030,arthralgia,4,15.01.02.001
CID000063009,rash erythematous,4,23.03.06.003
CID000005656,injury,4,12.01.08.004
CID000969472,hypokinesia,2,17.01.02.009
CID000004999,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000002764,erythema nodosum,1,10.02.01.020|23.07.02.001
CID000005394,rash,3,23.03.13.001
CID000054746,arthropathy,4,15.01.01.003
CID000034312,nervous system disorder,1,17.02.10.001
CID000443872,nausea,4,07.01.07.001
CID000002801,accommodation disorder,3,06.02.04.001
CID005281081,insomnia,4,17.15.03.002|19.02.01.002
CID003052775,neuritis,3,17.09.03.001
CID000002771,gastrooesophageal reflux disease,2,07.02.02.003
CID000002435,rosacea,4,23.02.08.001
CID000060852,gastritis,4,07.08.02.001
CID000006167,asthenia,4,08.01.01.001
CID000005291,restless legs syndrome,3,15.05.03.012|17.02.07.008
CID000063009,muscular weakness,3,15.05.06.001|17.05.03.005
CID000146570,vaginal haemorrhage,3,21.08.01.001|24.07.03.005
CID000132971,upper respiratory tract infection,1,11.01.13.009|22.07.03.011
CID000055891,orthostatic hypotension,4,17.05.01.020|24.06.03.004
CID000001775,gastrointestinal haemorrhage,3,07.12.02.001|24.07.02.009
CID000004594,rash,3,23.03.13.001
CID000123631,angioedema,2,10.01.05.009|23.04.01.001
CID000009444,hypotension,4,24.06.03.002
CID000644241,diabetes mellitus,4,05.06.01.001|14.06.01.001
CID000969472,conjunctivitis,3,06.04.01.002|11.01.06.012
CID006435110,apathy,4,19.04.04.002
CID000057469,tooth disorder,3,07.09.05.001
CID000068740,ill-defined disorder,4,08.01.03.049
CID000077993,tooth disorder,2,07.09.05.001
CID000003749,arrhythmia,3,02.03.02.001
CID000003152,epistaxis,3,22.04.03.001|24.07.01.005
CID000154256,hot flush,5,08.01.03.027|21.02.02.001|24.03.01.005
CID000004679,toxic epidermal necrolysis,1,10.01.01.006|11.07.01.006|12.03.01.015|23.03.01.008
CID000150610,cough,4,22.02.03.001
CID000003724,pruritus,4,23.03.12.001
CID000002764,loss of consciousness,2,17.02.04.004
CID000451668,tachycardia,4,02.03.02.007
CID000060795,vision blurred,4,06.02.06.007|17.17.01.010
CID000060853,gingival bleeding,2,07.09.07.001|24.07.02.010
CID000002771,mental disability,4,26.01.01.001
CID000004585,neurosis,4,19.06.01.001
CID000123606,tinnitus,3,04.04.01.002|17.04.07.004
CID000644241,face oedema,3,08.01.07.003|10.01.05.002|23.04.01.004
CID000034312,liver function test abnormal,1,13.03.01.013
CID000009651,hepatobiliary disease,3,09.01.08.003
CID003052775,urticaria,3,10.01.06.001|23.04.02.001
CID070788982,hyperglycaemia,5,05.06.02.002|14.06.02.002
CID000003158,presyncope,2,02.01.02.007|17.02.05.009|24.06.02.010
CID000004585,hyperkalaemia,3,14.05.03.001
CID000146570,exostosis,2,15.02.04.005
CID000004212,dyspepsia,4,07.01.02.001
CID005329102,rash,4,23.03.13.001
CID003083544,pain,4,08.01.08.004
CID000969472,mouth ulceration,3,07.05.06.004
CID006435110,abdominal distension,4,07.01.04.001
CID000060953,headache,4,17.14.01.001
CID000005394,dermatitis,3,23.03.04.002
CID000068740,confusional state,4,17.02.03.005|19.13.01.001
CID000005771,dermatitis,2,23.03.04.002
CID000175804,breast disorder,4,21.05.04.004
CID000129211,vision blurred,3,06.02.06.007|17.17.01.010
CID000003152,cardiomegaly,3,02.04.02.001
CID000037542,pain in extremity,4,15.03.04.010
CID005486971,arthralgia,4,15.01.02.001
CID005486971,muscle twitching,4,15.05.03.005
CID000002771,sleep disorder,4,19.02.04.001
CID000003446,pneumonia,4,11.01.09.003|22.07.01.003
CID000060779,embolism,4,24.01.01.009
CID000018283,paraesthesia,4,17.02.06.005
CID000005358,hypoaesthesia,4,17.02.06.023
CID000003878,weight decreased,4,13.15.01.005
CID045375808,alopecia,4,23.02.02.001
CID000005665,mental disability,4,26.01.01.001
CID000089594,tongue disorder,4,07.14.01.002
CID000166548,depression,4,19.15.01.001
CID000005358,ill-defined disorder,4,08.01.03.049
CID000055480,upper respiratory tract infection,4,11.01.13.009|22.07.03.011
CID000065139,pancreatitis,2,07.18.01.001
CID000060834,angioedema,1,10.01.05.009|23.04.01.001
CID000002130,disturbance in attention,4,17.03.03.001|19.21.02.002
CID000060857,urinary tract disorder,2,20.08.01.001
CID000004205,colitis,3,07.08.01.001
CID000001775,tension,4,19.06.02.005
CID000057469,fatigue,4,08.01.01.002
CID024826799,infection,4,11.01.08.002
CID000003386,urticaria,4,10.01.06.001|23.04.02.001
CID000216416,burning sensation,3,08.01.09.029|17.02.06.001
CID000153941,asthenia,4,08.01.01.001
CID000060843,thrombocytopenia,4,01.08.01.002
CID000002216,dry mouth,5,07.06.01.002
CID000003397,haematuria,4,20.02.01.006|24.07.01.047
CID000003702,bladder pain,3,20.02.02.001
CID000057469,ulcer,4,08.03.06.001
CID000002083,feeling abnormal,3,08.01.09.014
CID000216235,haemoptysis,4,02.01.02.006|22.02.03.004|24.07.01.006
CID000060834,tachycardia,3,02.03.02.007
CID000077990,apathy,3,19.04.04.002
CID042611257,sunburn,5,12.05.02.001|23.03.09.007
CID003062316,cardiac failure,4,02.05.01.001
CID000005732,influenza like illness,4,08.01.03.010
CID000003157,oedema,4,08.01.07.006|14.05.06.010
CID000005291,lymphadenopathy,3,01.09.01.002
CID000009444,pallor,5,08.01.03.032|23.03.03.031|24.03.04.001
CID000060853,albuminuria,3,20.02.01.001
CID000089594,flatulence,4,07.01.04.002
CID005280754,depression,4,19.15.01.001
CID000005656,deafness,2,04.02.01.001
CID000004091,vomiting,5,07.01.07.003
CID016220172,abdominal pain,5,07.01.05.002
CID000157920,chest pain,4,02.02.02.011|08.01.08.002|22.02.08.003
CID000065856,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000003736,hypertension,3,24.08.02.001
CID005284543,withdrawal syndrome,3,08.06.02.012|19.07.02.005
CID005284627,coordination abnormal,4,17.02.02.004
CID009854489,pharyngitis,4,07.05.07.004|11.01.13.003|22.07.03.004
CID005281107,dyspnoea,5,02.01.03.002|22.02.01.004
CID046216142,rash,4,23.03.13.001
CID000033741,abdominal pain lower,3,07.01.05.010
CID010113978,mucosal inflammation,4,08.01.06.002
CID000005071,headache,4,17.14.01.001
CID054684141,bronchitis,4,11.01.09.001|22.07.01.001
CID000060857,jaundice,2,01.06.04.004|09.01.01.004|23.03.03.030
CID000031703,feeling abnormal,3,08.01.09.014
CID000063009,stridor,2,22.04.02.003
CID000003158,headache,4,17.14.01.001
CID000004440,erythema,2,23.03.06.001
CID000003032,contusion,4,12.01.06.001|15.03.01.008|23.03.11.002|24.07.06.001
CID000077990,cystitis,3,11.01.14.001|20.03.02.002
CID003086257,cold sweat,3,08.01.03.024|23.02.03.002
CID005284616,impaired healing,4,08.03.02.001
CID000033741,flatulence,3,07.01.04.002
CID005284569,tremor,4,17.01.06.002
CID000158781,gastrointestinal pain,4,07.01.05.005
CID000002803,nasal congestion,4,22.04.04.001
CID000005719,tension,4,19.06.02.005
CID026275995,stomatitis,4,07.05.06.005
CID000439693,stomatitis,4,07.05.06.005
CID000005358,myocardial ischaemia,2,02.02.02.008|24.04.04.010
CID005282379,dermatitis,5,23.03.04.002
CID006918313,insomnia,4,17.15.03.002|19.02.01.002
CID000004595,body temperature increased,4,13.15.01.001
CID000083030,meningitis,4,11.01.03.001|17.06.03.001
CID000037542,completed suicide,1,08.04.01.010|19.12.01.001
CID000003696,agranulocytosis,1,01.02.03.001
CID000002789,body temperature increased,5,13.15.01.001
CID006435378,headache,5,17.14.01.001
CID000002801,myoclonus,5,17.02.05.008
CID000002159,agitation,4,17.02.05.012|19.06.02.001
CID000005035,oedema peripheral,4,02.05.04.007|08.01.07.007|14.05.06.011
CID000047725,alopecia,4,23.02.02.001
CID000216416,seasonal allergy,2,06.04.01.013|10.01.04.001|22.04.04.008
CID000003386,eye haemorrhage,2,06.07.02.001|24.07.05.002
CID000644241,ecchymosis,3,01.01.03.001|23.06.01.001|24.07.06.002
CID000003639,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000071158,anaemia,3,01.03.02.001
CID000002118,increased appetite,5,08.01.09.027|14.03.01.003
CID000060853,alopecia,3,23.02.02.001
CID000063009,skin disorder,2,23.03.03.007
CID000004932,tachycardia,4,02.03.02.007
CID000002801,lymphadenopathy,3,01.09.01.002
CID000002789,agitation,4,17.02.05.012|19.06.02.001
CID000003446,gamma-glutamyltransferase increased,2,13.03.01.011
CID005288169,chills,4,08.01.09.001|15.05.03.016
CID000003108,gastrointestinal pain,3,07.01.05.005
CID000170361,nightmare,4,19.02.03.003
CID005493444,diarrhoea,4,07.02.01.001
CID000005394,weight increased,4,13.15.01.006
CID011556711,hypertension,4,24.08.02.001
CID000077990,conjunctival haemorrhage,3,06.07.01.001|24.07.05.001
CID005462337,nausea,4,07.01.07.001
CID000002435,eye irritation,5,06.04.05.003
CID004659569,speech disorder,4,17.02.08.003|19.19.02.002|22.02.05.034
CID000216326,blood uric acid increased,3,13.02.04.001
CID005352062,nausea,5,07.01.07.001
CID000004054,eye pain,3,06.08.03.002
CID000005487,dementia,2,17.03.01.001|19.20.02.001
CID000004075,rectal haemorrhage,4,07.12.03.001|24.07.02.018
CID006321408,depression,5,19.15.01.001
CID000003331,visual impairment,4,06.02.06.008
CID000002435,skin burning sensation,4,17.02.06.009|23.03.03.021
CID000060648,bladder pain,3,20.02.02.001
CID000005732,visual impairment,4,06.02.06.008
CID000002764,keratitis,2,06.04.02.002
CID000657237,cardiac failure congestive,4,02.05.01.002
CID000033613,colitis,1,07.08.01.001
CID000037542,blood uric acid increased,4,13.02.04.001
CID000358641,vascular purpura,1,01.01.04.007|23.06.01.008|24.07.06.011
CID025181561,dizziness,5,02.01.02.004|17.02.05.003|24.06.02.007
CID005282379,skin burning sensation,5,17.02.06.009|23.03.03.021
CID000005909,hyperhidrosis,5,08.01.03.028|23.02.03.004
CID000003784,oedema,4,08.01.07.006|14.05.06.010
CID005311101,rash erythematous,4,23.03.06.003
CID000047811,pulmonary hypertension,2,22.06.01.001|24.08.03.002
CID000003696,aggression,1,19.05.01.001
CID000134780,chills,5,08.01.09.001|15.05.03.016
CID000121892,dyspepsia,4,07.01.02.001
CID000018381,gastrointestinal disorder,4,07.11.01.001
CID000003121,fatigue,5,08.01.01.002
CID003034010,osteoarthritis,4,15.01.04.001
CID000033624,peripheral coldness,4,08.01.09.010|24.04.03.006
CID000003446,cardiac failure,2,02.05.01.001
CID000005291,breast enlargement,3,21.05.04.001
CID000065866,lung infiltration,2,22.01.02.004
CID000000444,discomfort,2,08.01.08.003
CID010184653,stomatitis,5,07.05.06.005
CID000005578,dyspnoea,1,02.01.03.002|22.02.01.004
CID000004205,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000068740,urinary tract infection,5,11.01.14.004|20.08.02.001
CID000003494,constipation,5,07.02.02.001
CID000005961,pain,5,08.01.08.004
CID000446541,neoplasm,3,16.16.02.001
CID000004205,rash,4,23.03.13.001
CID044564107,abdominal pain,4,07.01.05.002
CID016129665,loss of consciousness,4,17.02.04.004
CID000082146,hyperhidrosis,4,08.01.03.028|23.02.03.004
CID000004173,nausea,3,07.01.07.001
CID000077992,nervousness,3,19.06.02.003
CID000042890,haemorrhage,5,24.07.01.002
CID000004075,nausea,3,07.01.07.001
CID005284583,dehydration,4,14.05.05.001
CID000657237,liver function test abnormal,4,13.03.01.013
CID000002801,increased appetite,5,08.01.09.027|14.03.01.003
CID005282411,sepsis,5,11.01.11.003
CID005282226,cardiac disorder,3,02.01.01.003
CID000004463,liver function test abnormal,4,13.03.01.013
CID000170361,ill-defined disorder,4,08.01.03.049
CID000033741,tinnitus,3,04.04.01.002|17.04.07.004
CID000001727,paraesthesia,4,17.02.06.005
CID000006432,musculoskeletal discomfort,2,15.03.04.001
CID024826799,fatigue,5,08.01.01.002
CID000003108,proctalgia,2,07.03.02.001
CID005280754,hirsutism,5,05.05.01.005|23.02.04.001
CID000005656,jaundice,2,01.06.04.004|09.01.01.004|23.03.03.030
CID000041867,dermatitis,4,23.03.04.002
CID000005245,pain,4,08.01.08.004
CID016157882,back pain,4,15.03.04.005
CID006918453,agranulocytosis,3,01.02.03.001
CID000006432,electrocardiogram abnormal,2,13.14.05.001
CID003010818,loss of consciousness,4,17.02.04.004
CID000445643,acne,4,23.02.01.001
CID000002265,toxic epidermal necrolysis,1,10.01.01.006|11.07.01.006|12.03.01.015|23.03.01.008
CID000043815,gingivitis,3,07.09.03.003|11.01.04.013
CID053320414,body temperature increased,5,13.15.01.001
CID000068740,injection site reaction,3,08.02.03.014|12.07.03.015
CID005486971,hypokalaemia,3,14.05.03.002
CID000387447,muscle spasms,4,15.05.03.004
CID000002578,tachycardia,4,02.03.02.007
CID000129228,nystagmus,4,06.05.02.006|17.02.02.006
CID006445540,constipation,4,07.02.02.001
CID000216235,vaginal haemorrhage,3,21.08.01.001|24.07.03.005
CID005486971,ventricular fibrillation,2,02.03.04.008
CID006324671,connective tissue disorder,4,15.06.01.006
CID000146570,paralysis,3,17.01.04.004
CID000006013,back pain,4,15.03.04.005
CID001549007,diarrhoea,5,07.02.01.001
CID000047811,abscess,3,11.01.08.001
CID000060834,decreased appetite,4,08.01.09.028|14.03.01.005
CID025151504,asthenia,4,08.01.01.001
CID000000444,gastrooesophageal reflux disease,3,07.02.02.003
CID000150610,white blood cell count decreased,4,13.01.06.012
CID011672602,deafness,4,04.02.01.001
CID000150610,infusion site pain,4,08.02.05.014|12.07.05.002
CID000003152,polydipsia,3,05.03.03.002|14.05.02.001
CID000005095,hallucination,4,19.10.02.002
CID000005070,hemiplegia,3,17.01.04.002
CID000004178,sensory loss,4,17.02.07.007
CID024826799,dyspnoea,4,02.01.03.002|22.02.01.004
CID000002153,tachycardia,5,02.03.02.007
CID000003331,constipation,4,07.02.02.001
CID000004585,blepharitis,4,06.04.04.001|23.03.04.012
CID000445643,peritonitis,3,07.19.05.004|11.01.07.007
CID000003749,rash,4,23.03.13.001
CID011556711,hypomagnesaemia,3,14.04.02.001
CID000056338,hyperhidrosis,3,08.01.03.028|23.02.03.004
CID000004436,keratitis,3,06.04.02.002
CID000115237,weight increased,4,13.15.01.006
CID000004585,fatigue,4,08.01.01.002
CID000005732,muscular weakness,2,15.05.06.001|17.05.03.005
CID000003446,accommodation disorder,2,06.02.04.001
CID000057363,sinusitis,4,11.01.13.005|22.07.03.007
CID000002771,bronchospasm,2,10.01.03.012|22.03.01.004
CID000003446,hirsutism,3,05.05.01.005|23.02.04.001
CID000084029,chest pain,3,02.02.02.011|08.01.08.002|22.02.08.003
CID000050224,asthenia,5,08.01.01.001
CID000004212,ischaemia,4,24.04.02.004
CID000004158,hypersensitivity,1,10.01.03.003
CID000002554,conjunctivitis,1,06.04.01.002|11.01.06.012
CID000644241,flank pain,4,08.01.08.007|15.03.04.003|20.02.03.006
CID000051634,headache,5,17.14.01.001
CID000005426,nervous system disorder,5,17.02.10.001
CID000005533,tinnitus,3,04.04.01.002|17.04.07.004
CID005284627,muscle contractions involuntary,4,15.05.03.008|17.05.03.001
CID000104758,diarrhoea,5,07.02.01.001
CID000004673,headache,5,17.14.01.001
CID000065999,visual impairment,3,06.02.06.008
CID000003152,abdominal pain upper,4,07.01.05.003
CID000001775,constipation,4,07.02.02.001
CID000003331,hallucination,3,19.10.02.002
CID000002771,stupor,2,17.02.04.007|19.02.05.004
CID044462760,hypersensitivity,3,10.01.03.003
CID000004158,pain,4,08.01.08.004
CID000003032,acute coronary syndrome,1,02.02.02.015|24.04.04.011
CID000003559,urinary retention,1,20.02.02.011
CID000005656,motion sickness,2,04.04.01.001|17.02.12.001
CID000014969,connective tissue disorder,4,15.06.01.006
CID000064147,depression,4,19.15.01.001
CID000065999,flatulence,3,07.01.04.002
CID000060857,haematuria,3,20.02.01.006|24.07.01.047
CID000002585,alanine aminotransferase increased,4,13.03.01.003
CID000148192,gynaecomastia,3,05.05.02.003|21.05.04.003
CID000047811,delusion,3,19.10.01.001
CID000005533,memory impairment,4,17.03.02.003|19.20.01.003
CID000060772,thrombocytopenia,2,01.08.01.002
CID000004449,pelvic pain,3,07.01.06.012|20.02.03.007|21.10.01.001
CID000005719,somnambulism,2,17.15.02.004|19.02.03.006
CID000004932,ecchymosis,4,01.01.03.001|23.06.01.001|24.07.06.002
CID005486971,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000005487,sinusitis,3,11.01.13.005|22.07.03.007
CID000003386,psoriasis,2,10.02.01.036|23.03.14.002
CID011672602,pallor,4,08.01.03.032|23.03.03.031|24.03.04.001
CID000002771,eructation,3,07.01.02.003
CID016129688,vision blurred,4,06.02.06.007|17.17.01.010
CID000060857,colitis,2,07.08.01.001
CID016157882,flatulence,4,07.01.04.002
CID024826799,decreased appetite,4,08.01.09.028|14.03.01.005
CID000077990,furuncle,3,11.02.05.008|23.09.01.004
CID000030323,dyspnoea,5,02.01.03.002|22.02.01.004
CID000002801,gastritis,3,07.08.02.001
CID000005002,thirst,4,08.01.09.021|14.03.02.007
CID000005732,mental disability,2,26.01.01.001
CID000002284,vision blurred,4,06.02.06.007|17.17.01.010
CID044201342,neuropathy peripheral,4,17.09.03.003
CID000010631,breast pain,4,21.05.05.003
CID000003446,skin disorder,3,23.03.03.007
CID000003345,thinking abnormal,4,17.02.05.023|19.10.03.001
CID045375808,pruritus,5,23.03.12.001
CID003086674,nausea,3,07.01.07.001
CID000060795,orthostatic hypotension,4,17.05.01.020|24.06.03.004
CID000003386,erectile dysfunction,4,19.08.04.001|21.03.01.007
CID000005426,acne,4,23.02.01.001
CID006435110,tremor,3,17.01.06.002
CID005324345,mood swings,3,19.04.03.001
CID000004212,white blood cell count decreased,5,13.01.06.012
CID000151171,infusion site pain,4,08.02.05.014|12.07.05.002
CID000033741,dry mouth,4,07.06.01.002
CID000060714,anxiety,3,19.06.02.002
CID000004828,myalgia,4,15.05.02.001
CID000064147,blood creatinine increased,4,13.13.01.004
CID005281071,upper-airway cough syndrome,4,22.02.05.030
CID003052775,dry mouth,4,07.06.01.002
CID000064147,headache,4,17.14.01.001
CID000216326,decreased appetite,5,08.01.09.028|14.03.01.005
CID000002578,abdominal pain,4,07.01.05.002
CID000004932,visual impairment,4,06.02.06.008
CID000001775,ventricular extrasystoles,3,02.03.04.007
CID000003331,diplopia,4,06.02.06.002|17.17.01.005
CID000002771,personality disorder,2,19.05.02.002
CID000055283,alanine aminotransferase increased,4,13.03.01.003
CID053320414,constipation,5,07.02.02.001
CID000150610,blood potassium decreased,4,13.11.01.010
CID000003746,angioedema,3,10.01.05.009|23.04.01.001
CID025074470,dyspepsia,4,07.01.02.001
CID000151165,alanine aminotransferase increased,4,13.03.01.003
CID000077993,lacrimal disorder,3,06.08.02.005
CID000003690,infection,4,11.01.08.002
CID000123606,colitis,2,07.08.01.001
CID000003637,urticaria,3,10.01.06.001|23.04.02.001
CID005282226,vision blurred,3,06.02.06.007|17.17.01.010
CID006509979,influenza,4,11.05.03.001|22.07.02.001
CID005486971,impaired healing,3,08.03.02.001
CID000006058,headache,4,17.14.01.001
CID000010531,euphoric mood,3,19.04.02.006
CID000005732,delusion,2,19.10.01.001
CID000016362,agitation,4,17.02.05.012|19.06.02.001
CID000026757,dry skin,3,23.03.03.001
CID000002478,hypokalaemia,5,14.05.03.002
CID000002266,erythema,4,23.03.06.001
CID005284627,nephrolithiasis,3,20.04.01.002
CID000003158,myalgia,3,15.05.02.001
CID000003380,orthostatic hypotension,3,17.05.01.020|24.06.03.004
CID000033741,deep vein thrombosis,3,24.01.02.003
CID000003878,conjunctivitis,4,06.04.01.002|11.01.06.012
CID005284627,haemorrhoids,4,07.15.03.001|24.10.02.002
CID000005578,shock,1,24.06.02.002
CID000060825,dermatitis,4,23.03.04.002
CID000439693,asthenia,5,08.01.01.001
CID009881504,vertigo,4,04.04.01.003|17.02.12.002
CID004659569,nocturia,3,20.02.03.001
CID003052775,hemiplegia,3,17.01.04.002
CID000003637,tachycardia,5,02.03.02.007
CID000005656,corneal lesion,3,06.06.03.004
CID009887712,rash,3,23.03.13.001
CID000119569,back pain,4,15.03.04.005
CID000004236,pollakiuria,3,20.02.02.007
CID000002801,cardiac arrest,3,02.03.04.001
CID005284627,cognitive disorder,4,17.03.03.003|19.21.02.001
CID000644241,muscular weakness,3,15.05.06.001|17.05.03.005
CID000119569,extrapyramidal disorder,5,17.01.02.007
CID000636380,syncope,2,02.01.02.008|17.02.04.008|24.06.02.012
CID000010531,hyperhidrosis,3,08.01.03.028|23.02.03.004
CID000043815,cough,4,22.02.03.001
CID044201342,injection site pain,4,08.02.03.010|12.07.03.011
CID000065139,dermatitis,4,23.03.04.002
CID000150610,blood creatinine increased,4,13.13.01.004
CID000004510,dermatitis atopic,3,10.01.04.004|23.03.04.016
CID000068740,dysgeusia,3,07.14.03.001|17.02.07.003
CID009854489,conjunctivitis,4,06.04.01.002|11.01.06.012
CID005281081,hypokinesia,4,17.01.02.009
CID000051634,fatigue,4,08.01.01.002
CID000005719,intestinal obstruction,2,07.13.01.002
CID005284627,hypersensitivity,4,10.01.03.003
CID000657237,visual impairment,4,06.02.06.008
CID000004189,asthenia,4,08.01.01.001
CID000068740,shock,3,24.06.02.002
CID000002130,headache,4,17.14.01.001
CID000002801,discomfort,3,08.01.08.003
CID006436173,insomnia,4,17.15.03.002|19.02.01.002
CID005280754,amenorrhoea,4,05.05.01.002|21.01.02.001
CID000129211,nausea,4,07.01.07.001
CID000047811,skin ulcer,3,23.07.03.003|24.04.03.007
CID000000444,abnormal dreams,4,17.15.02.001|19.02.03.001
CID000062819,immune system disorder,1,10.02.01.001
CID000009433,abdominal pain,5,07.01.05.002
CID000002802,irritability,4,08.01.03.011|19.04.02.013
CID000005719,lacrimation increased,3,06.08.02.004
CID000060648,tinnitus,4,04.04.01.002|17.04.07.004
CID000002803,orthostatic hypotension,5,17.05.01.020|24.06.03.004
CID025126797,flatulence,4,07.01.04.002
CID000358641,headache,4,17.14.01.001
CID000010531,hypoaesthesia,3,17.02.06.023
CID000060834,gastroenteritis,3,07.19.03.001|11.01.07.004
CID006445540,rash,4,23.03.13.001
CID000005078,arrhythmia,3,02.03.02.001
CID000054454,upper respiratory tract infection,4,11.01.13.009|22.07.03.011
CID000004609,insomnia,4,17.15.03.002|19.02.01.002
CID000077998,hepatic function abnormal,2,09.01.02.001
CID000002159,hypertension,3,24.08.02.001
CID000071616,papilloedema,3,06.09.02.002|17.07.02.004|24.03.07.001
CID000125017,asthenia,4,08.01.01.001
CID000077993,thyroiditis,2,05.02.04.001
CID000065139,vomiting,5,07.01.07.003
CID002733525,influenza,4,11.05.03.001|22.07.02.001
CID005481350,pain,4,08.01.08.004
CID005324345,biliary colic,2,09.02.01.001
CID000026757,mania,3,19.16.02.002
CID006918456,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000003261,eye swelling,3,06.08.03.003
